RECORD_TYPE,RECORD_ID,DATESTAMP,TRANSACTION_TYPE,DISCOUNT_CODE,D_PRODUCT,MSG_ID,VOLUME_UNIT_TYPE,VOLUME_UNITS,ACCESS_ID,PROFILE_ID,MOBILE_ID,REGION,AMOUNT
MA,1,2024-10-01 00:00:00,96,2,IDPDAT,797074852,Y,7253800,  70003193,60003193,01820335SKY0BA8,APACRB7,0
MR,2,2024-10-01 00:00:00,0A,0,IDPMMF,6390188,L,100,          ,60003193,01820335SKY0BA8,,737000
MR,3,2024-10-01 00:00:00,0A,0,IDPMMF,7245566,L,100,          ,60003193,01995539QCSF99C,,737000
MR,4,2024-10-01 00:00:00,0A,0,IDPMMF,7361908,L,100,          ,60003193,01995865QCS17FA,,737000
MR,5,2024-10-01 00:00:00,0A,0,IDPMMF,7317161,L,100,          ,60003193,01996384QCSBE1D,,737000
MR,6,2024-10-01 00:00:00,0A,0,IDPMMF,6718994,L,100,          ,60003193,02004552SKYFDA5,,737000
MR,7,2024-10-01 00:00:00,0A,0,IDPMMF,6718993,L,100,          ,60003193,02004550SKYF59B,,737000
MR,8,2024-10-01 00:00:00,0A,0,IDPMMF,6797169,L,100,          ,60003193,02007950SKY5803,,737000
MR,9,2024-10-01 00:00:00,0A,0,IDPMMF,7025380,L,100,          ,60003193,02046341SKYA1D6,,737000
MR,10,2024-10-01 00:00:00,0A,0,IDPMMF,6893779,L,100,          ,60003193,02046425SKYF37A,,737000
MR,11,2024-10-01 00:00:00,0A,0,IDPMMF,7130826,L,100,          ,60003193,02045636SKY1011,,737000
MA,12,2024-10-01 00:01:10,96,0,IDPDAT,802023154,Y,6147570,  70003193,60003193,02045636SKY1011,APACRB7,4303299
MA,13,2024-10-01 00:03:02,96,2,IDPDAT,802023002,Y,2746200,  70003193,60003193,01995539QCSF99C,APACRB7,0
MA,14,2024-10-01 00:03:02,96,0,IDPDAT,802023002,Y,1545250,  70003193,60003193,01995539QCSF99C,APACRB7,1081675
MA,15,2024-10-01 00:03:24,96,0,IDPDAT,802023437,Y,3956630,  70003193,60003193,01995865QCS17FA,APACRB7,2769641
MA,16,2024-10-01 00:04:02,96,0,IDPDAT,802023371,Y,7166580,  70003193,60003193,02046341SKYA1D6,APACRB7,5016606
MA,17,2024-10-01 00:04:11,96,0,IDPDAT,802023321,Y,5948910,  70003193,60003193,02007950SKY5803,APACRB7,4164237
MA,18,2024-10-01 00:05:29,96,0,IDPDAT,802023530,Y,6848410,  70003193,60003193,02004552SKYFDA5,APACRB7,4793887
MA,19,2024-10-01 00:30:33,96,0,IDPDAT,801954303,Y,7171180,  70003193,60003193,02046425SKYF37A,APACRB7,5019826
MA,20,2024-10-01 00:35:39,96,0,IDPDAT,801128512,Y,6862280,  70003193,60003193,02004550SKYF59B,APACRB7,4803596
MA,21,2024-10-02 03:12:35,96,0,IDPDAT,803623367,Y,6971320,  70003193,60003193,01996384QCSBE1D,APACRB7,4879924
